고유ID,식품명,1회 섭취량(g),kcal,탄수화물(g),단백질(g),지방(g),당류(g)
음식_육류구이,꿩불고기,500.0,368.8,39.7,33.5,8.5,16.9
음식_육류구이,닭갈비,400.0,595.6,44.9,45.9,25.8,21.2
음식_육류구이,닭갈비,300.0,558.5,23.1,45.5,31.6,8.5
음식_육류구이,닭꼬치,70.0,176.7,13.3,11.6,8.6,3.2
음식_채소류구이,더덕구이,100.0,184.0,31.1,3.1,5.2,11.6
음식_어패류구이,도미구이,250.0,397.0,2.1,61.1,16.5,0.0
음식_육류구이,돼지갈비,100.0,240.3,8.1,19.5,14.4,4.5
음식_어패류구이,병어구이,250.0,488.0,0.2,54.6,30.8,0.0
음식_육류구이,불고기,150.0,395.3,7.8,34.4,25.2,7.9
음식_어패류구이,붕장어소금구이,100.0,296.5,11.6,26.0,16.2,0.4
음식_육류구이,소양념갈비구이,300.0,989.2,26.2,60.1,71.6,13.9
음식_육류구이,양념왕갈비,150.0,480.8,13.7,27.1,35.3,6.8
음식_어패류구이,양념장어구이,150.0,433.4,8.8,30.8,30.6,4.2
음식_어패류구이,임연수구이,250.0,494.0,3.5,53.8,29.4,0.0
음식_어패류구이,짚불구이곰장어,200.0,326.2,2.3,42.7,16.2,1.2
음식_육류구이,햄버그스테이크,200.0,457.7,20.8,27.0,29.6,5.3
음식_어패류구이,황태구이,200.0,437.6,26.9,47.8,15.4,14.2
음식_육류구이,훈제오리,250.0,797.1,12.1,43.1,64.1,0.3
음식_어패류국.탕,게국지,1100.0,415.2,31.7,44.9,12.1,10.8
음식_어패류국.탕,곰치국,1000.0,419.3,23.9,54.3,11.8,2.8
음식_어패류국.탕,굴국밥,650.0,683.0,88.4,42.4,17.8,0.3
음식_채소류국.탕,김치국,450.0,89.0,10.5,5.4,2.8,2.9
음식_기타 국 및 탕류,떡만둣국,700.0,624.9,110.7,20.1,11.3,0.2
음식_기타 국 및 탕류,만둣국,700.0,434.0,47.8,21.4,17.4,3.0
음식_채소류국.탕,맑은감자국,700.0,221.0,34.6,8.3,5.5,5.2
음식_어패류국.탕,매생이국,500.0,119.0,13.4,10.0,2.8,0.4
음식_채소류국.탕,무된장국,450.0,104.0,14.7,6.1,2.4,5.9
음식_채소류국.탕,미소된장국,150.0,38.0,2.8,2.8,1.8,0.7
음식_어패류국.탕,바지락조개국,550.0,157.0,10.1,22.0,3.1,1.3
음식_육류국.탕,뼈다귀해장국,1000.0,714.0,23.4,74.6,35.7,5.7
음식_육류국.탕,선지해장국,1000.0,312.0,16.7,49.3,5.4,3.9
음식_육류국.탕,소고기무국,400.0,123.0,7.8,14.2,4.0,3.5
음식_육류국.탕,소고기미역국,650.0,151.0,7.7,18.1,5.3,0.0
음식_육류국.탕,순대국,800.0,540.3,17.3,43.5,33.0,0.0
음식_채소류국.탕,시래기된장국,450.0,99.0,11.0,6.7,3.1,1.3
음식_어패류국.탕,올갱이국,600.0,144.3,13.0,13.7,4.2,1.6
음식_채소류국.탕,우거지해장국,600.0,154.4,13.5,11.9,5.9,2.5
음식_어패류국.탕,우렁된장국,500.0,245.0,19.2,24.6,7.7,3.6
음식_어패류국.탕,탕국,250.0,92.2,0.2,13.2,4.3,0.1
음식_어패류국.탕,홍합미역국,650.0,167.0,11.6,19.7,4.7,0.0
음식_어패류국.탕,황태해장국,600.0,181.7,5.7,24.5,6.8,1.5
음식_기타 볶음류,고추잡채,200.0,256.8,26.2,11.0,12.0,2.1
음식_육류볶음,난자완스,200.0,346.2,19.1,21.6,20.4,0.5
음식_기타,도토리묵말이,1300.0,462.4,89.7,6.8,8.5,6.3
음식_육류튀김,라조기,200.0,399.0,26.2,20.7,23.5,0.2
음식_회류,물회,700.0,529.4,55.3,34.4,18.9,20.0
음식_회류,생선물회,800.0,578.0,82.5,34.3,12.3,52.0
음식_육류찌개.전골,소고기샤브샤브,600.0,263.8,14.7,29.1,9.8,2.4
음식_어패류찜,오징어순대,350.0,466.9,58.3,45.7,5.6,0.4
음식_채소류국.탕,초당순두부,900.0,522.7,15.8,49.1,29.2,0.9
음식_어패류무침,해파리냉채,150.0,91.0,13.4,6.2,1.4,11.4
음식_김치,고들빼기,50.0,55.5,10.9,1.6,0.6,2.8
음식_김치,열무얼갈이김치,50.0,17.7,2.6,1.1,0.3,0.5
음식_나물.숙채류,미나리나물,50.0,29.5,2.2,1.0,1.8,0.0
음식_나물.숙채류,취나물,50.0,74.1,3.3,1.4,6.2,0.0
음식_나물.숙채류,콩나물,50.0,25.3,0.9,1.7,1.6,0.0
음식_떡류,경단(깨),100.0,319.5,74.2,4.4,0.5,26.6
음식_떡류,경단(콩),100.0,314.3,74.0,3.5,0.5,20.6
음식_떡류,기피편,100.0,220.0,49.0,5.4,0.2,2.1
음식_떡류,녹두시루떡,100.0,246.1,48.1,7.7,2.5,4.0
음식_곡류 및 서류,메밀전병,100.0,167.8,21.6,6.2,6.3,0.6
음식_떡류,무지개떡,100.0,229.0,53.0,3.5,0.3,9.0
음식_떡류,송편(깨),100.0,224.1,45.0,4.9,2.7,1.1
음식_떡류,송편(콩),100.0,194.3,41.7,5.2,0.7,1.3
음식_곡류 및 서류,수수부꾸미,100.0,247.9,42.1,5.7,6.3,0.2
음식_떡류,수수팥떡,100.0,204.2,43.0,6.7,0.6,2.8
음식_떡류,시루떡,100.0,217.5,47.5,5.5,0.6,3.2
음식_떡류,쑥떡,100.0,248.6,57.9,3.4,0.4,10.7
음식_떡류,절편,100.0,192.9,43.9,3.6,0.3,0.1
음식_떡류,찹쌀떡,100.0,276.9,65.6,3.3,0.2,17.5
음식_중식면류,간자장,650.0,824.5,134.2,22.3,22.0,12.2
음식_중식면류,굴짬뽕,900.0,680.7,115.7,32.9,9.6,1.7
음식_중식면류,기스면,1000.0,606.9,89.8,37.8,10.7,0.5
음식_라면류,김치라면,650.0,552.0,86.2,13.8,16.9,1.2
음식_중식면류,김치우동,800.0,500.2,99.1,15.5,4.6,2.1
음식_국수류,냉김치말이국수,600.0,302.5,52.0,12.9,4.8,8.3
음식_국수류,닭칼국수,900.0,663.0,94.7,42.2,12.8,5.3
음식_국수류,둘깨칼국수,600.0,457.9,59.8,17.6,16.5,1.4
음식_국수류,막국수,1000.0,571.6,109.8,20.0,5.8,9.4
음식_중식면류,삼선우동,1000.0,691.7,105.9,47.9,8.5,0.8
음식_중식면류,삼선자장면,700.0,803.9,126.5,33.6,18.1,10.2
음식_중식면류,삼선짬뽕,900.0,662.4,101.7,39.6,10.8,1.1
음식_국수류,쌀국수,600.0,320.3,55.1,15.6,4.2,4.3
음식_국수류,열무김치국수,800.0,431.0,69.6,15.0,10.2,18.6
음식_중식면류,열무냉면,800.0,525.5,97.5,20.8,5.8,27.1
음식_스파게티류,오일소스스파게티,400.0,646.7,89.4,19.6,23.4,1.4
음식_국수류,올갱이국수,1500.0,566.0,111.6,11.2,8.3,18.6
음식_중식면류,우동(일식),700.0,421.5,74.2,13.4,7.9,2.5
음식_중식면류,우동(중식),1000.0,648.5,85.4,29.5,21.0,1.1
음식_중식면류,울면,1000.0,728.9,128.2,37.5,7.4,0.5
음식_중식면류,자장면,650.0,796.5,133.6,19.8,20.3,7.8
음식_라면류,짬뽕라면,750.0,689.0,92.0,21.3,26.3,1.6
음식_라면류,치즈라면,600.0,595.0,80.0,16.8,23.0,0.9
음식_스파게티류,크림소스스파게티,400.0,837.6,73.8,21.8,50.6,9.2
음식_스파게티류,토마토소스스파게티,500.0,642.6,93.2,24.3,19.2,15.6
음식_국수류,해물칼국수,900.0,628.3,123.9,22.8,4.6,3.8
음식_스파게티류,해물크림소스스파게티,500.0,917.6,87.0,30.4,49.8,8.4
음식_스파게티류,해물토마토소스스파게티,500.0,584.4,87.2,28.0,13.7,13.5
음식_어패류무침,골뱅이무침,100.0,108.8,15.7,7.1,2.0,10.5
음식_나물.채소류무침,노각무침,150.0,84.0,14.3,2.6,1.8,7.1
음식_나물.채소류무침,단무지무침,50.0,20.0,2.8,0.5,0.8,0.7
음식_나물.채소류무침,달래나물무침,150.0,136.0,23.8,4.0,2.8,11.2
음식_나물.채소류무침,더덕무침,150.0,216.0,43.4,4.3,2.8,20.2
음식_기타,도토리묵,100.0,45.6,10.4,0.3,0.3,0.4
