NO,식품종류,식품명,상세분류,1회제공량,kcal,단백질(g),지방(g),탄수화물(g)
1,음식,꿩불고기,육류구이,500.0,368.8,33.5,8.5,39.7
2,음식,닭갈비,육류구이,400.0,595.61,45.9,25.8,44.9
3,음식,닭갈비,육류구이,300.0,558.47,45.5,31.6,23.1
4,음식,닭꼬치,육류구이,70.0,176.723,11.562,8.565,13.348
5,음식,더덕구이,채소류구이,100.0,184.0,3.1,5.2,31.1
6,음식,도미구이,어패류구이,250.0,397.0,61.1,16.5,2.1
7,음식,돼지갈비,육류구이,100.0,240.32,19.5,14.4,8.1
8,음식,병어구이,어패류구이,250.0,488.0,54.6,30.8,0.2
9,음식,불고기,육류구이,150.0,395.29,34.4,25.2,7.8
10,음식,붕장어소금구이,어패류구이,100.0,296.54,26,16.2,11.6
11,음식,소양념갈비구이,육류구이,300.0,989.15,60.1,71.6,26.2
12,음식,양념왕갈비,육류구이,150.0,480.81,27.1,35.3,13.7
13,음식,양념장어구이,어패류구이,150.0,433.352,30.771,30.561,8.804
14,음식,임연수구이,어패류구이,250.0,494.0,53.8,29.4,3.5
15,음식,짚불구이곰장어,어패류구이,200.0,326.21,42.7,16.2,2.3
16,음식,햄버그스테이크,육류구이,200.0,457.697,26.959,29.646,20.761
17,음식,황태구이,어패류구이,200.0,437.57,47.8,15.4,26.9
18,음식,훈제오리,육류구이,250.0,797.14,43.058,64.066,12.078
19,음식,게국지,어패류국.탕,1100.0,415.25,44.9,12.1,31.7
20,음식,곰치국,어패류국.탕,1000.0,419.29,54.3,11.8,23.9
21,음식,굴국밥,어패류국.탕,650.0,683.0,42.4,17.8,88.4
22,음식,김치국,채소류국.탕,450.0,89.0,5.4,2.8,10.5
23,음식,떡만둣국,기타 국 및 탕류,700.0,624.915,20.055,11.319,110.707
24,음식,만둣국,기타 국 및 탕류,700.0,434.05,21.429,17.445,47.832
25,음식,맑은감자국,채소류국.탕,700.0,221.0,8.3,5.5,34.6
26,음식,매생이국,어패류국.탕,500.0,119.0,10,2.8,13.4
27,음식,무된장국,채소류국.탕,450.0,104.0,6.1,2.4,14.7
28,음식,미소된장국,채소류국.탕,150.0,38.0,2.8,1.8,2.8
29,음식,바지락조개국,어패류국.탕,550.0,157.0,22,3.1,10.1
30,음식,뼈다귀해장국,육류국.탕,1000.0,714.0,74.6,35.7,23.4
31,음식,선지해장국,육류국.탕,1000.0,312.0,49.3,5.4,16.7
32,음식,소고기무국,육류국.탕,400.0,123.0,14.2,4,7.8
33,음식,소고기미역국,육류국.탕,650.0,151.0,18.1,5.3,7.7
34,음식,순대국,육류국.탕,800.0,540.298,43.523,33.018,17.261
35,음식,시래기된장국,채소류국.탕,450.0,99.0,6.7,3.1,11
36,음식,올갱이국,어패류국.탕,600.0,144.26,13.7,4.2,13
37,음식,우거지해장국,채소류국.탕,600.0,154.38,11.9,5.9,13.5
38,음식,우렁된장국,어패류국.탕,500.0,245.0,24.6,7.7,19.2
39,음식,탕국,어패류국.탕,250.0,92.152,13.181,4.272,0.244
40,음식,홍합미역국,어패류국.탕,650.0,167.0,19.7,4.7,11.6
41,음식,황태해장국,어패류국.탕,600.0,181.7,24.5,6.8,5.7
